,Wireless Types,PlaybackHours,offer,price
0, Airdopes 131 ,"<span class=""metafeild-label label--highlight custom-label label ui-2"">60 Hours Playback</span>","<p class=""m-0 pr-2 off"">70% off</p>","<span class=""price price--highlight product-card-price"" data-price=""89900"">
<span class=""visually-hidden"">Sale price</span>₹899</span>"
1, Airdopes Atom 83 ,"<span class=""metafeild-label label--highlight custom-label label ui-2"">50 Hours Playback</span>","<p class=""m-0 pr-2 off"">54% off</p>","<span class=""price price--highlight product-card-price"" data-price=""159900"">
<span class=""visually-hidden"">Sale price</span>₹1,599</span>"
2, Airdopes 161 ,"<span class=""metafeild-label label--highlight custom-label label ui-2"">40 Hours Playback</span>","<p class=""m-0 pr-2 off"">56% off</p>","<span class=""price price--highlight product-card-price"" data-price=""109900"">
<span class=""visually-hidden"">Sale price</span>₹1,099</span>"
3, Nirvana Ion ,"<span class=""metafeild-label label--highlight custom-label label ui-2"">120 Hours Playback</span>","<p class=""m-0 pr-2 off"">75% off</p>","<span class=""price price--highlight product-card-price"" data-price=""199900"">
<span class=""visually-hidden"">Sale price</span>₹1,999</span>"
4, Airdopes 170 ,"<span class=""metafeild-label label--highlight custom-label label ui-2"">50 Hours Playback</span>","<p class=""m-0 pr-2 off"">54% off</p>","<span class=""price price--highlight product-card-price"" data-price=""159900"">
<span class=""visually-hidden"">Sale price</span>₹1,599</span>"
5, Airdopes Alpha ,"<span class=""metafeild-label label--highlight custom-label label ui-2"">35 Hours Playback</span>","<p class=""m-0 pr-2 off"">71% off</p>","<span class=""price price--highlight product-card-price"" data-price=""99900"">
<span class=""visually-hidden"">Sale price</span>₹999</span>"
6, Airdopes Hype ,"<span class=""metafeild-label label--highlight custom-label label ui-2"">100 Hours Playback</span>","<p class=""m-0 pr-2 off"">69% off</p>","<span class=""price price--highlight product-card-price"" data-price=""169900"">
<span class=""visually-hidden"">Sale price</span>₹1,699</span>"
7, Airdopes 141 ,"<span class=""metafeild-label label--highlight custom-label label ui-2"">42 Hours Playback</span>","<p class=""m-0 pr-2 off"">71% off</p>","<span class=""price price--highlight product-card-price"" data-price=""129900"">
<span class=""visually-hidden"">Sale price</span>₹1,299</span>"
8, Airdopes Ultra Plus ,"<span class=""metafeild-label label--highlight custom-label label ui-2"">50 Hours Playback</span>","<p class=""m-0 pr-2 off"">68% off</p>","<span class=""price price--highlight product-card-price"" data-price=""159900"">
<span class=""visually-hidden"">Sale price</span>₹1,599</span>"
9, Airdopes Ace ,"<span class=""metafeild-label label--highlight custom-label label ui-2"">35 Hours Playback</span>","<p class=""m-0 pr-2 off"">63% off</p>","<span class=""price price--highlight product-card-price"" data-price=""129900"">
<span class=""visually-hidden"">Sale price</span>₹1,299</span>"
10, Immortal 131 ,"<span class=""metafeild-label label--highlight custom-label label ui-2"">Gaming Earbuds</span>","<p class=""m-0 pr-2 off"">66% off</p>","<span class=""price price--highlight product-card-price"" data-price=""119900"">
<span class=""visually-hidden"">Sale price</span>₹1,199</span>"
11, Airdopes 163 ,"<span class=""metafeild-label label--highlight custom-label label ui-2"">17 Hours Playback</span>","<p class=""m-0 pr-2 off"">44% off</p>","<span class=""price price--highlight product-card-price"" data-price=""139900"">
<span class=""visually-hidden"">Sale price</span>₹1,399</span>"
12, Airdopes Zing ,"<span class=""metafeild-label label--highlight custom-label label ui-2"">75 Hours Playback</span>","<p class=""m-0 pr-2 off"">60% off</p>","<span class=""price price--highlight product-card-price"" data-price=""139900"">
<span class=""visually-hidden"">Sale price</span>₹1,399</span>"
13,TRebel Airdopes 141 ,"<span class=""metafeild-label label--highlight custom-label label ui-2"">42 Hours Playback</span>","<p class=""m-0 pr-2 off"">73% off</p>","<span class=""price price--highlight product-card-price"" data-price=""119900"">
<span class=""visually-hidden"">Sale price</span>₹1,199</span>"
14, Airdopes 138 PRO ,"<span class=""metafeild-label label--highlight custom-label label ui-2"">45 Hours Playback</span>","<p class=""m-0 pr-2 off"">47% off</p>","<span class=""price price--highlight product-card-price"" data-price=""159900"">
<span class=""visually-hidden"">Sale price</span>₹1,599</span>"
15, Immortal 111 ,"<span class=""metafeild-label label--highlight custom-label label ui-2"">Gaming Earbuds</span>","<p class=""m-0 pr-2 off"">59% off</p>","<span class=""price price--highlight product-card-price"" data-price=""144900"">
<span class=""visually-hidden"">Sale price</span>₹1,449</span>"
16, Airdopes Supreme ,"<span class=""metafeild-label label--highlight custom-label label ui-2"">50 Hours Playback</span>","<p class=""m-0 pr-2 off"">75% off</p>","<span class=""price price--highlight product-card-price"" data-price=""149900"">
<span class=""visually-hidden"">Sale price</span>₹1,499</span>"
17, Airdopes Bliss ANC ,"<span class=""metafeild-label label--highlight custom-label label ui-2"">Noise Cancellation</span>","<p class=""m-0 pr-2 off"">67% off</p>","<span class=""price price--highlight product-card-price"" data-price=""199900"">
<span class=""visually-hidden"">Sale price</span>₹1,999</span>"
